Y,X1,X2,X3,X4,X5
10.46,0.74,686,245,3.50,0.10
10.32,0.74,686,245,3.50,0.10
10.45,0.74,686,245,3.50,0.10
10.64,0.71,710.5,269.5,3.50,0.10
10.72,0.71,710.5,269.5,3.50,0.10
10.55,0.71,710.5,269.5,3.50,0.10
10.68,0.71,710.5,269.5,3.50,0.10
11.45,0.69,735,294,3.50,0.10
11.46,0.69,735,294,3.50,0.10
11.32,0.69,735,294,3.50,0.10
11.49,0.69,735,294,3.50,0.10
11.45,0.66,759.5,318.5,3.50,0.10
11.42,0.66,759.5,318.5,3.50,0.10
11.33,0.66,759.5,318.5,3.50,0.10
11.43,0.66,759.5,318.5,3.50,0.10
15.41,0.64,784,343,3.50,0.10
15.18,0.64,784,343,3.50,0.10
15.34,0.64,784,343,3.50,0.10
15.19,0.64,784,343,3.50,0.10
12.88,0.62,808.5,367.5,3.50,0.10
13,0.62,808.5,367.5,3.50,0.10
12.97,0.62,808.5,367.5,3.50,0.10
13.04,0.62,808.5,367.5,3.50,0.10
24.28,0.98,514.5,294,7.00,0.10
24.4,0.98,514.5,294,7.00,0.10
24.11,0.98,514.5,294,7.00,0.10
24.35,0.98,514.5,294,7.00,0.10
28.07,0.9,563.5,318.5,7.00,0.10
29.01,0.9,563.5,318.5,7.00,0.10
29.62,0.9,563.5,318.5,7.00,0.10
29.05,0.9,563.5,318.5,7.00,0.10
25.41,0.86,588,294,7.00,0.10
26.47,0.86,588,294,7.00,0.10
26.89,0.86,588,294,7.00,0.10
26.46,0.86,588,294,7.00,0.10
22.93,0.82,612.5,318.5,7.00,0.10
23.84,0.82,612.5,318.5,7.00,0.10
24.17,0.82,612.5,318.5,7.00,0.10
23.87,0.82,612.5,318.5,7.00,0.10
35.78,0.79,637,343,7.00,0.10
35.48,0.79,637,343,7.00,0.10
36.97,0.79,637,343,7.00,0.10
36.7,0.79,637,343,7.00,0.10
32.52,0.76,661.5,416.5,7.00,0.10
33.28,0.76,661.5,416.5,7.00,0.10
32.33,0.76,661.5,416.5,7.00,0.10
33.24,0.76,661.5,416.5,7.00,0.10
10.39,0.74,686,245,3.50,0.10
10.34,0.74,686,245,3.50,0.10
10.35,0.74,686,245,3.50,0.10
10.38,0.74,686,245,3.50,0.10
10.77,0.71,710.5,269.5,3.50,0.10
10.68,0.71,710.5,269.5,3.50,0.10
10.68,0.71,710.5,269.5,3.50,0.10
10.7,0.71,710.5,269.5,3.50,0.10
11.22,0.69,735,294,3.50,0.10
11.16,0.69,735,294,3.50,0.10
11.1,0.69,735,294,3.50,0.10
11.14,0.69,735,294,3.50,0.10
11.59,0.66,759.5,318.5,3.50,0.10
11.6,0.66,759.5,318.5,3.50,0.10
11.53,0.66,759.5,318.5,3.50,0.10
11.61,0.66,759.5,318.5,3.50,0.10
15.16,0.64,784,343,3.50,0.10
15.36,0.64,784,343,3.50,0.10
15.12,0.64,784,343,3.50,0.10
15.36,0.64,784,343,3.50,0.10
12.68,0.62,808.5,367.5,3.50,0.10
12.63,0.62,808.5,367.5,3.50,0.10
12.71,0.62,808.5,367.5,3.50,0.10
12.73,0.62,808.5,367.5,3.50,0.10
24.38,0.98,514.5,294,7.00,0.10
24.23,0.98,514.5,294,7.00,0.10
24.04,0.98,514.5,294,7.00,0.10
24.32,0.98,514.5,294,7.00,0.10
29.06,0.9,563.5,318.5,7.00,0.10
28.05,0.9,563.5,318.5,7.00,0.10
28.86,0.9,563.5,318.5,7.00,0.10
29.79,0.9,563.5,318.5,7.00,0.10
26.44,0.86,588,294,7.00,0.10
25.37,0.86,588,294,7.00,0.10
26.33,0.86,588,294,7.00,0.10
27.03,0.86,588,294,7.00,0.10
23.8,0.82,612.5,318.5,7.00,0.10
22.8,0.82,612.5,318.5,7.00,0.10
23.59,0.82,612.5,318.5,7.00,0.10
24.24,0.82,612.5,318.5,7.00,0.10
36.86,0.79,637,343,7.00,0.10
35.89,0.79,637,343,7.00,0.10
35.45,0.79,637,343,7.00,0.10
37.1,0.79,637,343,7.00,0.10
33.08,0.76,661.5,416.5,7.00,0.10
32.38,0.76,661.5,416.5,7.00,0.10
33.09,0.76,661.5,416.5,7.00,0.10
32.31,0.76,661.5,416.5,7.00,0.10
10.08,0.74,686,245,3.50,0.10
10.15,0.74,686,245,3.50,0.10
10.07,0.74,686,245,3.50,0.10
10.14,0.74,686,245,3.50,0.10
10.66,0.71,710.5,269.5,3.50,0.10
10.68,0.71,710.5,269.5,3.50,0.10
10.53,0.71,710.5,269.5,3.50,0.10
10.72,0.71,710.5,269.5,3.50,0.10
11.18,0.69,735,294,3.50,0.10
11.22,0.69,735,294,3.50,0.10
11.07,0.69,735,294,3.50,0.10
11.2,0.69,735,294,3.50,0.10
11.44,0.66,759.5,318.5,3.50,0.10
11.42,0.66,759.5,318.5,3.50,0.10
11.33,0.66,759.5,318.5,3.50,0.10
11.43,0.66,759.5,318.5,3.50,0.10
15.4,0.64,784,343,3.50,0.10
15.19,0.64,784,343,3.50,0.10
15.32,0.64,784,343,3.50,0.10
15.16,0.64,784,343,3.50,0.10
12.85,0.62,808.5,367.5,3.50,0.10
13.04,0.62,808.5,367.5,3.50,0.10
13,0.62,808.5,367.5,3.50,0.10
13,0.62,808.5,367.5,3.50,0.10
24.35,0.98,514.5,294,7.00,0.10
24.33,0.98,514.5,294,7.00,0.10
24.03,0.98,514.5,294,7.00,0.10
24.26,0.98,514.5,294,7.00,0.10
29.83,0.9,563.5,318.5,7.00,0.10
29.08,0.9,563.5,318.5,7.00,0.10
28.03,0.9,563.5,318.5,7.00,0.10
29.02,0.9,563.5,318.5,7.00,0.10
27.03,0.86,588,294,7.00,0.10
26.45,0.86,588,294,7.00,0.10
25.36,0.86,588,294,7.00,0.10
26.45,0.86,588,294,7.00,0.10
24.37,0.82,612.5,318.5,7.00,0.10
23.89,0.82,612.5,318.5,7.00,0.10
22.89,0.82,612.5,318.5,7.00,0.10
23.86,0.82,612.5,318.5,7.00,0.10
37.03,0.79,637,343,7.00,0.10
36.71,0.79,637,343,7.00,0.10
36.77,0.79,637,343,7.00,0.10
35.48,0.79,637,343,7.00,0.10
32.31,0.76,661.5,416.5,7.00,0.10
33.21,0.76,661.5,416.5,7.00,0.10
32.46,0.76,661.5,416.5,7.00,0.10
33.27,0.76,661.5,416.5,7.00,0.10
10.47,0.74,686,245,3.50,0.10
10.37,0.74,686,245,3.50,0.10
10.34,0.74,686,245,3.50,0.10
10.39,0.74,686,245,3.50,0.10
10.78,0.71,710.5,269.5,3.50,0.10
10.7,0.71,710.5,269.5,3.50,0.10
10.67,0.71,710.5,269.5,3.50,0.10
13.69,0.71,710.5,269.5,3.50,0.10
11.21,0.69,735,294,3.50,0.10
11.14,0.69,735,294,3.50,0.10
11.11,0.69,735,294,3.50,0.10
11.16,0.69,735,294,3.50,0.10
11.38,0.66,759.5,318.5,3.50,0.10
11.34,0.66,759.5,318.5,3.50,0.10
11.22,0.66,759.5,318.5,3.50,0.10
11.34,0.66,759.5,318.5,3.50,0.10
15.16,0.64,784,343,3.50,0.10
15.37,0.64,784,343,3.50,0.10
15.12,0.64,784,343,3.50,0.10
15.36,0.64,784,343,3.50,0.10
12.59,0.62,808.5,367.5,3.50,0.10
12.74,0.62,808.5,367.5,3.50,0.10
12.8,0.62,808.5,367.5,3.50,0.10
12.62,0.62,808.5,367.5,3.50,0.10
28.15,0.98,514.5,294,7.00,0.25
28.15,0.98,514.5,294,7.00,0.25
28.37,0.98,514.5,294,7.00,0.25
28.41,0.98,514.5,294,7.00,0.25
32.68,0.9,563.5,318.5,7.00,0.25
33.48,0.9,563.5,318.5,7.00,0.25
32.84,0.9,563.5,318.5,7.00,0.25
32,0.9,563.5,318.5,7.00,0.25
29.54,0.86,588,294,7.00,0.25
30.05,0.86,588,294,7.00,0.25
29.6,0.86,588,294,7.00,0.25
28.66,0.86,588,294,7.00,0.25
26.84,0.82,612.5,318.5,7.00,0.25
27.27,0.82,612.5,318.5,7.00,0.25
26.97,0.82,612.5,318.5,7.00,0.25
26.19,0.82,612.5,318.5,7.00,0.25
38.67,0.79,637,343,7.00,0.25
40.03,0.79,637,343,7.00,0.25
39.86,0.79,637,343,7.00,0.25
39.04,0.79,637,343,7.00,0.25
36.96,0.76,661.5,416.5,7.00,0.25
36.13,0.76,661.5,416.5,7.00,0.25
36.91,0.76,661.5,416.5,7.00,0.25
36.43,0.76,661.5,416.5,7.00,0.25
12.43,0.74,686,245,3.50,0.25
12.5,0.74,686,245,3.50,0.25
12.41,0.74,686,245,3.50,0.25
12.45,0.74,686,245,3.50,0.25
12.57,0.71,710.5,269.5,3.50,0.25
12.65,0.71,710.5,269.5,3.50,0.25
12.57,0.71,710.5,269.5,3.50,0.25
12.63,0.71,710.5,269.5,3.50,0.25
12.78,0.69,735,294,3.50,0.25
12.93,0.69,735,294,3.50,0.25
12.73,0.69,735,294,3.50,0.25
12.72,0.69,735,294,3.50,0.25
13.17,0.66,759.5,318.5,3.50,0.25
13.18,0.66,759.5,318.5,3.50,0.25
13.17,0.66,759.5,318.5,3.50,0.25
13.18,0.66,759.5,318.5,3.50,0.25
17.5,0.64,784,343,3.50,0.25
17.35,0.64,784,343,3.50,0.25
17.52,0.64,784,343,3.50,0.25
17.37,0.64,784,343,3.50,0.25
15.09,0.62,808.5,367.5,3.50,0.25
15.12,0.62,808.5,367.5,3.50,0.25
15.08,0.62,808.5,367.5,3.50,0.25
15.16,0.62,808.5,367.5,3.50,0.25
28.67,0.98,514.5,294,7.00,0.25
28.57,0.98,514.5,294,7.00,0.25
28.18,0.98,514.5,294,7.00,0.25
28.6,0.98,514.5,294,7.00,0.25
32.46,0.9,563.5,318.5,7.00,0.25
33.27,0.9,563.5,318.5,7.00,0.25
32.33,0.9,563.5,318.5,7.00,0.25
31.66,0.9,563.5,318.5,7.00,0.25
29.34,0.86,588,294,7.00,0.25
29.87,0.86,588,294,7.00,0.25
29.27,0.86,588,294,7.00,0.25
28.4,0.86,588,294,7.00,0.25
25.74,0.82,612.5,318.5,7.00,0.25
25.98,0.82,612.5,318.5,7.00,0.25
25.38,0.82,612.5,318.5,7.00,0.25
24.94,0.82,612.5,318.5,7.00,0.25
38.57,0.79,637,343,7.00,0.25
40.19,0.79,637,343,7.00,0.25
39.97,0.79,637,343,7.00,0.25
38.98,0.79,637,343,7.00,0.25
36.95,0.76,661.5,416.5,7.00,0.25
36.28,0.76,661.5,416.5,7.00,0.25
36.86,0.76,661.5,416.5,7.00,0.25
36.45,0.76,661.5,416.5,7.00,0.25
12.35,0.74,686,245,3.50,0.25
12.45,0.74,686,245,3.50,0.25
12.16,0.74,686,245,3.50,0.25
12.3,0.74,686,245,3.50,0.25
12.33,0.71,710.5,269.5,3.50,0.25
12.29,0.71,710.5,269.5,3.50,0.25
12.2,0.71,710.5,269.5,3.50,0.25
12.49,0.71,710.5,269.5,3.50,0.25
12.85,0.69,735,294,3.50,0.25
12.87,0.69,735,294,3.50,0.25
12.73,0.69,735,294,3.50,0.25
12.95,0.69,735,294,3.50,0.25
13.05,0.66,759.5,318.5,3.50,0.25
12.93,0.66,759.5,318.5,3.50,0.25
12.77,0.66,759.5,318.5,3.50,0.25
13,0.66,759.5,318.5,3.50,0.25
17.14,0.64,784,343,3.50,0.25
16.84,0.64,784,343,3.50,0.25
17.02,0.64,784,343,3.50,0.25
17.11,0.64,784,343,3.50,0.25
14.34,0.62,808.5,367.5,3.50,0.25
14.66,0.62,808.5,367.5,3.50,0.25
14.6,0.62,808.5,367.5,3.50,0.25
14.6,0.62,808.5,367.5,3.50,0.25
28.67,0.98,514.5,294,7.00,0.25
28.56,0.98,514.5,294,7.00,0.25
28.17,0.98,514.5,294,7.00,0.25
28.63,0.98,514.5,294,7.00,0.25
31.63,0.9,563.5,318.5,7.00,0.25
32.4,0.9,563.5,318.5,7.00,0.25
32.68,0.9,563.5,318.5,7.00,0.25
32.29,0.9,563.5,318.5,7.00,0.25
28.4,0.86,588,294,7.00,0.25
29.4,0.86,588,294,7.00,0.25
29.43,0.86,588,294,7.00,0.25
29.07,0.86,588,294,7.00,0.25
24.7,0.82,612.5,318.5,7.00,0.25
25.48,0.82,612.5,318.5,7.00,0.25
25.37,0.82,612.5,318.5,7.00,0.25
25.17,0.82,612.5,318.5,7.00,0.25
39.04,0.79,637,343,7.00,0.25
38.35,0.79,637,343,7.00,0.25
39.81,0.79,637,343,7.00,0.25
39.83,0.79,637,343,7.00,0.25
35.99,0.76,661.5,416.5,7.00,0.25
36.59,0.76,661.5,416.5,7.00,0.25
35.64,0.76,661.5,416.5,7.00,0.25
36.52,0.76,661.5,416.5,7.00,0.25
11.8,0.74,686,245,3.50,0.25
12.03,0.74,686,245,3.50,0.25
11.98,0.74,686,245,3.50,0.25
11.69,0.74,686,245,3.50,0.25
12.41,0.71,710.5,269.5,3.50,0.25
12.28,0.71,710.5,269.5,3.50,0.25
12.1,0.71,710.5,269.5,3.50,0.25
12.19,0.71,710.5,269.5,3.50,0.25
12.34,0.69,735,294,3.50,0.25
12.46,0.69,735,294,3.50,0.25
12.31,0.69,735,294,3.50,0.25
12.12,0.69,735,294,3.50,0.25
12.97,0.66,759.5,318.5,3.50,0.25
13.01,0.66,759.5,318.5,3.50,0.25
12.74,0.66,759.5,318.5,3.50,0.25
12.84,0.66,759.5,318.5,3.50,0.25
16.83,0.64,784,343,3.50,0.25
16.93,0.64,784,343,3.50,0.25
16.66,0.64,784,343,3.50,0.25
16.86,0.64,784,343,3.50,0.25
13.91,0.62,808.5,367.5,3.50,0.25
14.34,0.62,808.5,367.5,3.50,0.25
13.95,0.62,808.5,367.5,3.50,0.25
13.99,0.62,808.5,367.5,3.50,0.25
28.7,0.98,514.5,294,7.00,0.25
28.55,0.98,514.5,294,7.00,0.25
28.15,0.98,514.5,294,7.00,0.25
28.62,0.98,514.5,294,7.00,0.25
32.67,0.9,563.5,318.5,7.00,0.25
31.69,0.9,563.5,318.5,7.00,0.25
32.07,0.9,563.5,318.5,7.00,0.25
33.28,0.9,563.5,318.5,7.00,0.25
29.47,0.86,588,294,7.00,0.25
28.42,0.86,588,294,7.00,0.25
29.08,0.86,588,294,7.00,0.25
29.88,0.86,588,294,7.00,0.25
25.66,0.82,612.5,318.5,7.00,0.25
24.96,0.82,612.5,318.5,7.00,0.25
25.43,0.82,612.5,318.5,7.00,0.25
26,0.82,612.5,318.5,7.00,0.25
40,0.79,637,343,7.00,0.25
38.84,0.79,637,343,7.00,0.25
38.33,0.79,637,343,7.00,0.25
40.12,0.79,637,343,7.00,0.25
36.95,0.76,661.5,416.5,7.00,0.25
36.45,0.76,661.5,416.5,7.00,0.25
36.81,0.76,661.5,416.5,7.00,0.25
36.26,0.76,661.5,416.5,7.00,0.25
12.32,0.74,686,245,3.50,0.25
12.3,0.74,686,245,3.50,0.25
12.18,0.74,686,245,3.50,0.25
12.43,0.74,686,245,3.50,0.25
12.36,0.71,710.5,269.5,3.50,0.25
12.49,0.71,710.5,269.5,3.50,0.25
12.17,0.71,710.5,269.5,3.50,0.25
12.28,0.71,710.5,269.5,3.50,0.25
12.91,0.69,735,294,3.50,0.25
12.95,0.69,735,294,3.50,0.25
12.67,0.69,735,294,3.50,0.25
12.86,0.69,735,294,3.50,0.25
12.95,0.66,759.5,318.5,3.50,0.25
13,0.66,759.5,318.5,3.50,0.25
12.86,0.66,759.5,318.5,3.50,0.25
12.92,0.66,759.5,318.5,3.50,0.25
16.99,0.64,784,343,3.50,0.25
16.69,0.64,784,343,3.50,0.25
16.56,0.64,784,343,3.50,0.25
16.62,0.64,784,343,3.50,0.25
14.33,0.62,808.5,367.5,3.50,0.25
14.61,0.62,808.5,367.5,3.50,0.25
14.61,0.62,808.5,367.5,3.50,0.25
14.65,0.62,808.5,367.5,3.50,0.25
28.69,0.98,514.5,294,7.00,0.25
28.58,0.98,514.5,294,7.00,0.25
28.15,0.98,514.5,294,7.00,0.25
28.61,0.98,514.5,294,7.00,0.25
33.13,0.9,563.5,318.5,7.00,0.25
32.31,0.9,563.5,318.5,7.00,0.25
31.53,0.9,563.5,318.5,7.00,0.25
32.46,0.9,563.5,318.5,7.00,0.25
29.71,0.86,588,294,7.00,0.25
29.09,0.86,588,294,7.00,0.25
28.31,0.86,588,294,7.00,0.25
29.39,0.86,588,294,7.00,0.25
25.7,0.82,612.5,318.5,7.00,0.25
25.17,0.82,612.5,318.5,7.00,0.25
24.6,0.82,612.5,318.5,7.00,0.25
25.49,0.82,612.5,318.5,7.00,0.25
39.89,0.79,637,343,7.00,0.25
39.83,0.79,637,343,7.00,0.25
39.01,0.79,637,343,7.00,0.25
38.65,0.79,637,343,7.00,0.25
35.69,0.76,661.5,416.5,7.00,0.25
36.64,0.76,661.5,416.5,7.00,0.25
36.06,0.76,661.5,416.5,7.00,0.25
36.7,0.76,661.5,416.5,7.00,0.25
12.12,0.74,686,245,3.50,0.25
11.67,0.74,686,245,3.50,0.25
11.64,0.74,686,245,3.50,0.25
12.02,0.74,686,245,3.50,0.25
12.27,0.71,710.5,269.5,3.50,0.25
12.19,0.71,710.5,269.5,3.50,0.25
12.25,0.71,710.5,269.5,3.50,0.25
12.27,0.71,710.5,269.5,3.50,0.25
12.47,0.69,735,294,3.50,0.25
12.12,0.69,735,294,3.50,0.25
12.18,0.69,735,294,3.50,0.25
12.47,0.69,735,294,3.50,0.25
12.93,0.66,759.5,318.5,3.50,0.25
12.82,0.66,759.5,318.5,3.50,0.25
12.78,0.66,759.5,318.5,3.50,0.25
13.02,0.66,759.5,318.5,3.50,0.25
16.73,0.64,784,343,3.50,0.25
16.86,0.64,784,343,3.50,0.25
16.76,0.64,784,343,3.50,0.25
16.92,0.64,784,343,3.50,0.25
13.68,0.62,808.5,367.5,3.50,0.25
13.99,0.62,808.5,367.5,3.50,0.25
14.16,0.62,808.5,367.5,3.50,0.25
13.86,0.62,808.5,367.5,3.50,0.25
32.26,0.98,514.5,294,7.00,0.40
32.26,0.98,514.5,294,7.00,0.40
32.49,0.98,514.5,294,7.00,0.40
32.53,0.98,514.5,294,7.00,0.40
36.47,0.9,563.5,318.5,7.00,0.40
37.24,0.9,563.5,318.5,7.00,0.40
36.66,0.9,563.5,318.5,7.00,0.40
35.96,0.9,563.5,318.5,7.00,0.40
31.89,0.86,588,294,7.00,0.40
32.39,0.86,588,294,7.00,0.40
32.09,0.86,588,294,7.00,0.40
31.29,0.86,588,294,7.00,0.40
29.22,0.82,612.5,318.5,7.00,0.40
29.91,0.82,612.5,318.5,7.00,0.40
29.53,0.82,612.5,318.5,7.00,0.40
28.65,0.82,612.5,318.5,7.00,0.40
41.4,0.79,637,343,7.00,0.40
42.62,0.79,637,343,7.00,0.40
42.5,0.79,637,343,7.00,0.40
41.67,0.79,637,343,7.00,0.40
40.78,0.76,661.5,416.5,7.00,0.40
39.97,0.76,661.5,416.5,7.00,0.40
40.71,0.76,661.5,416.5,7.00,0.40
40.43,0.76,661.5,416.5,7.00,0.40
14.52,0.74,686,245,3.50,0.40
14.61,0.74,686,245,3.50,0.40
14.5,0.74,686,245,3.50,0.40
14.55,0.74,686,245,3.50,0.40
14.51,0.71,710.5,269.5,3.50,0.40
14.6,0.71,710.5,269.5,3.50,0.40
14.5,0.71,710.5,269.5,3.50,0.40
14.58,0.71,710.5,269.5,3.50,0.40
14.51,0.69,735,294,3.50,0.40
14.7,0.69,735,294,3.50,0.40
14.42,0.69,735,294,3.50,0.40
14.42,0.69,735,294,3.50,0.40
15.23,0.66,759.5,318.5,3.50,0.40
15.23,0.66,759.5,318.5,3.50,0.40
15.23,0.66,759.5,318.5,3.50,0.40
15.23,0.66,759.5,318.5,3.50,0.40
19.52,0.64,784,343,3.50,0.40
19.36,0.64,784,343,3.50,0.40
19.48,0.64,784,343,3.50,0.40
19.42,0.64,784,343,3.50,0.40
15.09,0.62,808.5,367.5,3.50,0.40
17.17,0.62,808.5,367.5,3.50,0.40
17.14,0.62,808.5,367.5,3.50,0.40
17.14,0.62,808.5,367.5,3.50,0.40
32.82,0.98,514.5,294,7.00,0.40
32.71,0.98,514.5,294,7.00,0.40
32.24,0.98,514.5,294,7.00,0.40
32.72,0.98,514.5,294,7.00,0.40
35.84,0.9,563.5,318.5,7.00,0.40
36.57,0.9,563.5,318.5,7.00,0.40
36.06,0.9,563.5,318.5,7.00,0.40
35.69,0.9,563.5,318.5,7.00,0.40
32.48,0.86,588,294,7.00,0.40
32.74,0.86,588,294,7.00,0.40
32.13,0.86,588,294,7.00,0.40
31.64,0.86,588,294,7.00,0.40
28.95,0.82,612.5,318.5,7.00,0.40
29.49,0.82,612.5,318.5,7.00,0.40
28.64,0.82,612.5,318.5,7.00,0.40
28.01,0.82,612.5,318.5,7.00,0.40
41.64,0.79,637,343,7.00,0.40
43.1,0.79,637,343,7.00,0.40
42.74,0.79,637,343,7.00,0.40
41.92,0.79,637,343,7.00,0.40
40.78,0.76,661.5,416.5,7.00,0.40
40.15,0.76,661.5,416.5,7.00,0.40
40.57,0.76,661.5,416.5,7.00,0.40
40.42,0.76,661.5,416.5,7.00,0.40
14.54,0.74,686,245,3.50,0.40
14.45,0.74,686,245,3.50,0.40
14.18,0.74,686,245,3.50,0.40
14.5,0.74,686,245,3.50,0.40
14.7,0.71,710.5,269.5,3.50,0.40
14.66,0.71,710.5,269.5,3.50,0.40
14.4,0.71,710.5,269.5,3.50,0.40
14.71,0.71,710.5,269.5,3.50,0.40
14.75,0.69,735,294,3.50,0.40
14.71,0.69,735,294,3.50,0.40
14.33,0.69,735,294,3.50,0.40
14.62,0.69,735,294,3.50,0.40
15.34,0.66,759.5,318.5,3.50,0.40
15.29,0.66,759.5,318.5,3.50,0.40
15.09,0.66,759.5,318.5,3.50,0.40
15.3,0.66,759.5,318.5,3.50,0.40
19.2,0.64,784,343,3.50,0.40
18.88,0.64,784,343,3.50,0.40
18.9,0.64,784,343,3.50,0.40
19.12,0.64,784,343,3.50,0.40
16.76,0.62,808.5,367.5,3.50,0.40
17.23,0.62,808.5,367.5,3.50,0.40
17.26,0.62,808.5,367.5,3.50,0.40
17.15,0.62,808.5,367.5,3.50,0.40
32.82,0.98,514.5,294,7.00,0.40
32.69,0.98,514.5,294,7.00,0.40
32.23,0.98,514.5,294,7.00,0.40
32.75,0.98,514.5,294,7.00,0.40
34.24,0.9,563.5,318.5,7.00,0.40
34.95,0.9,563.5,318.5,7.00,0.40
